Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,Документ1,0.105402,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111981,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10875,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105875,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109271,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107283,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.112872,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.307202,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106346,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108533,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10687,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111591,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.114156,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.104752,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108304,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111944,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105691,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.572636,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.112628,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108213,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.136978,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.112606,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109034,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10978,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109706,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.316489,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.117716,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110214,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111417,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10966,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106246,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106711,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106658,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111772,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109111,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108034,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107602,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11322,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.120577,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106373,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106196,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109573,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105782,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109335,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106534,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109824,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109778,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10965,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107927,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.1097,WINWORD.EXE,Документ1
